fighter,opponent,date,reason
Germaine de Randamie,Julia Budd,2024-06-16 20:11:00,No name match above threshold
Shane del Rosario,Lolohea Mahe,2023-07-09 20:10:00,No name match above threshold
Thomas Denny,Georges St-Pierre,2025-01-12 20:03:00,No name match above threshold
Cory Devela,Bobby Voelker,2023-07-09 20:10:00,No name match above threshold
John Devine,Brandon Cash,2022-10-11 20:10:00,No name match above threshold
Thomas Diagne,Caros Fodor,2023-07-09 20:10:00,No name match above threshold
Hacran Dias,Iuri Alcantara,2023-06-02 20:12:00,No name match above threshold
Rodolfo Marques Diniz,Yusup Saadulaev,2024-09-17 20:11:00,No name match above threshold
CB Dollaway,Cezar Ferreira,2023-03-02 20:14:00,No name match above threshold
Dong Huaxiang,Shi Ming,2023-08-06 20:24:00,No name match above threshold
Junior Dos Santos,Mark Hunt,2025-05-02 20:13:00,No name match above threshold
Rayanne dos Santos,Denise Gomes,2023-08-05 20:22:00,No name match above threshold
Felipe dos Santos,Victor Altamirano,2024-02-02 20:24:00,No name match above threshold
David Douglas,Dominic Clark,2022-10-11 20:10:00,No name match above threshold
Chris Duncan,Manuel Torres,2024-02-02 20:24:00,No name match above threshold
Evan Dunham,Melvin Guillard,2022-01-02 20:11:00,No odds in date range
Marvin Eastman,Travis Lutter,2022-10-04 20:04:00,No name match above threshold
Marvin Eastman,Alex Stiebling,2023-11-03 20:02:00,No name match above threshold
Yves Edwards,Cody McKenzie,2022-01-02 20:11:00,No odds in date range
Yves Edwards,Dokonjonosuke Mishima,2022-05-07 20:05:00,No name match above threshold
Oban Elliott,Kaik Brito,2022-08-03 20:23:00,No name match above threshold
Aleksander Emelianenko,Matt Foki,2023-05-03 20:04:00,No name match above threshold
Fedor Emelianenko,Heath Herring,2024-11-02 20:02:00,No name match above threshold
Yuji Ephoevi-Ga,Dominic Mar Fan,2023-05-04 20:25:00,No name match above threshold
Cole Escovedo,Yoshiro Maeda,2022-03-13 20:10:00,No name match above threshold
Jordan Espinosa,Nick Urso,2022-08-07 20:17:00,No name match above threshold
Billy Evangelista,Waachiim Spiritwolf,2022-10-11 20:10:00,No name match above threshold
Feng Xiaocan,Arisa Matsuda,2022-05-02 20:25:00,No name match above threshold
Feng Xiaocan,Miki Motono,2023-08-06 20:24:00,No name match above threshold
Bibiano Fernandes,Takafumi Otsuka,2024-09-17 20:11:00,No name match above threshold
Bibiano Fernandes,Joachim Hansen,2022-03-13 20:10:00,No name match above threshold
Cezar Ferreira,CB Dollaway,2023-03-02 20:14:00,No name match above threshold
Cezar Ferreira,Sergio Moraes,2023-06-02 20:12:00,No name match above threshold
Erisson Ferreira,Jesus Aguilar,2023-08-05 20:22:00,No name match above threshold
Mirko Filipovic,Hiromitsu Kanehara,2023-05-03 20:04:00,No name match above threshold
Rafael Fiziev,Ignacio Bahamondes,2025-06-21 00:00:00,No name match above threshold
Alejandro Flores,Rafael Alves,2025-08-04 20:20:00,No name match above threshold
Darrius Flowers,Amiran Gogoladze,2023-08-05 20:22:00,No name match above threshold
Caros Fodor,James Terry,2024-06-16 20:11:00,No name match above threshold
Caros Fodor,Thomas Diagne,2023-07-09 20:10:00,No name match above threshold
Matt Foki,Aleksander Emelianenko,2023-05-03 20:04:00,No name match above threshold
Sterling Ford,Brian McLaughlin,2022-07-17 20:11:00,No name match above threshold
Jussier Formiga,Scott Jorgensen,2023-03-02 20:14:00,No name match above threshold
Rich Franklin,Wanderlei Silva,2023-06-02 20:12:00,No name match above threshold
Rich Franklin,Jorge Rivera,2022-10-04 20:04:00,No name match above threshold
Willamy Freire,Satoru Kitaoka,2024-09-17 20:11:00,No name match above threshold
Willamy Freire,Waylon Lowe,2022-01-02 20:11:00,No odds in date range
Daniel Frunza,Vadym Kutsyi,2024-09-07 20:24:00,No name match above threshold
Don Frye,Hidehiko Yoshida,2024-11-02 20:02:00,No name match above threshold
Tony Fryklund,Ivan Salaverry,2022-10-04 20:04:00,No name match above threshold
Katsuhisa Fujii,Jin Oh Kim,2023-05-03 20:04:00,No name match above threshold
Allan Goes,Alex Stiebling,2023-12-02 20:01:00,No name match above threshold
Amiran Gogoladze,Darrius Flowers,2023-08-05 20:22:00,No name match above threshold
Denise Gomes,Rayanne dos Santos,2023-08-05 20:22:00,No name match above threshold
Luis Gomez,Dan Ige,2025-07-03 20:17:00,No name match above threshold
Takanori Gomi,Luiz Azeredo,2022-05-07 20:05:00,No name match above threshold
Takanori Gomi,Ralph Gracie,2023-05-03 20:04:00,No name match above threshold
Akihiro Gono,Crosley Gracie,2022-05-07 20:05:00,No name match above threshold
Justin Gonzales,Zach Zane,2025-06-02 20:19:00,No name match above threshold
Crosley Gracie,Akihiro Gono,2022-05-07 20:05:00,No name match above threshold
Ralph Gracie,Takanori Gomi,2023-05-03 20:04:00,No name match above threshold
Rodrigo Gracie,Yuki Sasaki,2023-12-03 20:02:00,No name match above threshold
Ryan Gracie,Ikuhisa Minowa,2023-05-03 20:04:00,No name match above threshold
TJ Grant,Gray Maynard,2025-05-02 20:13:00,No name match above threshold
Dwight Grant,Stefan Sekulic,2024-04-02 20:21:00,No name match above threshold
King Green,Charon Spain,2023-09-19 20:11:00,No name match above threshold
Melvin Guillard,Evan Dunham,2022-01-02 20:11:00,No odds in date range
Mike Guymon,DaMarques Johnson,2022-01-02 20:11:00,No odds in date range
Tim Hague,Matt Mitrione,2022-01-02 20:11:00,No odds in date range
Uriah Hall,Chris Weidman,2024-04-02 20:21:00,No name match above threshold
Dennis Hallman,Frank Trigg,2023-11-03 20:02:00,No name match above threshold
Jeremy Hamilton,Derek Brunson,2024-06-16 20:11:00,No name match above threshold
Joachim Hansen,Tatsuya Kawajiri,2024-09-17 20:11:00,No name match above threshold
Joachim Hansen,Bibiano Fernandes,2022-03-13 20:10:00,No name match above threshold
Shin Haraguchi,Zhu Kangjie,2023-08-06 20:24:00,No name match above threshold
Baru Harn,Ikuhisa Minowa,2024-09-17 20:11:00,No name match above threshold
Gerald Harris,Kazuhiro Nakamura,2024-09-17 20:11:00,No name match above threshold
Chris Haseman,Mike van Arsdale,2023-11-03 20:02:00,No name match above threshold
Delson Heleno,Francisco Trinaldo,2023-06-02 20:12:00,No name match above threshold
Dan Henderson,Mauricio Rua,2023-03-02 20:14:00,No name match above threshold
Dan Henderson,Antonio Rodrigo Nogueira,2023-12-03 20:02:00,No name match above threshold
Heath Herring,Fedor Emelianenko,2024-11-02 20:02:00,No name match above threshold
Jason High,Todd Moore,2023-09-19 20:11:00,No name match above threshold
Jason High,Quinn Mulhern,2024-06-16 20:11:00,No name match above threshold
Jamahal Hill,Alexander Poppeck,2023-07-05 20:19:00,No name match above threshold
Kuniyoshi Hironaka,Katsunori Kikuno,2022-03-13 20:10:00,No name match above threshold
Kevin Holland,Roman Dolidze,2024-10-05 00:00:00,No name match above threshold
Kevin Holland,John Phillips,2024-11-02 20:18:00,No name match above threshold
Max Holloway,Dennis Bermudez,2025-05-02 20:13:00,No name match above threshold
Mark Hominick,George Roop,2022-01-02 20:11:00,No odds in date range
Chase Hooper,Canaan Kawaihae,2024-07-06 20:18:00,No name match above threshold
Jeremy Horn,Akira Shoji,2023-12-02 20:01:00,No name match above threshold
Hu Yaozong,Rashad Coulter,2024-11-02 20:18:00,No name match above threshold
Austin Hubbard,Alexander Hernandez,2024-10-05 00:00:00,No name match above threshold
Collin Huckbody,Kyron Bowen,2025-08-04 20:20:00,No name match above threshold
Matt Hughes,Georges St-Pierre,2022-10-04 20:04:00,No name match above threshold
Jeff Hughes,Josh Appelt,2024-07-06 20:18:00,No name match above threshold
Sam Hughes,Yazmin Jauregui,2024-02-02 20:24:00,No name match above threshold
Abongo Humphrey,Mike Kyle,2023-07-09 20:10:00,No name match above threshold
Mark Hunt,Junior Dos Santos,2025-05-02 20:13:00,No name match above threshold
Dan Ige,Luis Gomez,2025-07-03 20:17:00,No name match above threshold
Masakazu Imanari,Abel Cullum,2024-09-17 20:11:00,No name match above threshold
Rui Imura,Nghiem Van Y,2023-05-04 20:25:00,No name match above threshold
Takeshi Inoue,Caol Uno,2024-09-17 20:11:00,No name match above threshold
Kuya Ito,Sim Kai Xiong,2023-05-04 20:25:00,No name match above threshold
Tomomi Iwama,Jens Pulver,2022-05-07 20:05:00,No name match above threshold
