fighter_url,Name,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Height_inches,Weight_lbs,Height (inches),Weight (lbs),Reach (in),Wins,Losses,Draws,Age,STANCE_:Open Stance,STANCE_:Orthodox,STANCE_:Sideways,STANCE_:Southpaw,STANCE_:Switch,STANCE_Unknown
http://ufcstats.com/fighter-details/85ff1b9471d35238,Dmitry Sosnovskiy,2.95,0.7,2.53,0.35,3.16,0.66,1.0,3.2,75.0,240.0,75.0,240.0,77.0,11,0,0,35.9,0,1,0,0,0,0
http://ufcstats.com/fighter-details/326f94d6cfb1bf25,Ben Sosoli,2.31,0.31,4.3,0.47,0.0,0.0,0.0,0.0,72.0,265.0,72.0,265.0,72.0,7,3,0,35.5,0,0,0,1,0,0
http://ufcstats.com/fighter-details/59583ff832fe9d68,Krzysztof Soszynski,3.37,0.39,3.13,0.58,0.52,0.25,0.71,1.0,73.0,205.0,73.0,205.0,77.0,26,12,1,47.9,1,0,0,0,0,0
http://ufcstats.com/fighter-details/896c322f56b8be5a,George Sotiropoulos,2.61,0.27,2.52,0.67,2.32,0.31,0.53,1.6,70.0,155.0,70.0,155.0,71.0,14,7,0,47.9,0,1,0,0,0,0
http://ufcstats.com/fighter-details/9c669abd35b2522f,Greg Soto,3.21,0.63,2.61,0.52,1.49,0.27,0.44,1.0,71.0,170.0,71.0,170.0,73.0,9,4,0,39.0,0,1,0,0,0,0
http://ufcstats.com/fighter-details/d18dbcb0f8e2b55d,Alex Soto,2.95,0.25,5.02,0.59,2.82,0.3,0.0,0.0,68.0,135.0,68.0,135.0,,8,3,1,41.3,0,0,0,1,0,0
http://ufcstats.com/fighter-details/a4e85a58fbce64b2,Joe Soto,3.36,0.41,5.37,0.67,0.85,0.21,0.7,1.9,66.0,135.0,66.0,135.0,65.0,18,7,0,38.2,0,1,0,0,0,0
http://ufcstats.com/fighter-details/cac3aaa66c20bee1,Mario Soto,1.43,0.23,5.23,0.42,0.0,0.0,0.0,0.0,72.0,145.0,72.0,145.0,,7,2,0,,0,0,0,0,0,1
http://ufcstats.com/fighter-details/d0e50a3d1b250708,Andre Soukhamthath,2.77,0.44,4.31,0.49,1.25,0.53,0.58,0.2,69.0,135.0,69.0,135.0,70.0,13,8,0,36.6,0,1,0,0,0,0
http://ufcstats.com/fighter-details/72782745eb47161a,Mario Sousa,2.82,0.5,2.99,0.28,0.52,0.25,0.37,0.5,75.0,185.0,75.0,185.0,79.0,15,3,0,28.7,0,1,0,0,0,0
http://ufcstats.com/fighter-details/5870c541798124ae,Manoel Sousa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,155.0,,155.0,,12,1,0,28.0,0,0,0,0,0,1
http://ufcstats.com/fighter-details/aee8eecfc4bfb1e7,Bobby Southworth,0.99,0.39,1.38,0.65,3.98,0.78,0.64,1.3,74.0,205.0,74.0,205.0,,10,6,0,55.5,0,1,0,0,0,0
http://ufcstats.com/fighter-details/7a703c565ccaa18f,Jacare Souza,2.53,0.47,2.83,0.62,2.57,0.39,0.57,1.3,73.0,185.0,73.0,185.0,72.0,26,10,0,45.5,0,1,0,0,0,0
http://ufcstats.com/fighter-details/6c7020b859c7a3ce,Edimilson Souza,4.65,0.44,2.91,0.58,0.0,0.0,0.5,0.0,72.0,145.0,72.0,145.0,74.0,15,5,0,40.7,0,1,0,0,0,0
http://ufcstats.com/fighter-details/dab8cfbb6b1db10a,Livinha Souza,1.75,0.45,3.6,0.56,2.54,0.45,0.4,1.4,63.0,115.0,63.0,115.0,63.0,14,4,0,34.3,0,1,0,0,0,0
http://ufcstats.com/fighter-details/0e5c4e72237461bb,Bruno Souza,3.73,0.39,5.3,0.45,0.5,0.16,0.6,0.0,70.0,145.0,70.0,145.0,70.0,10,3,0,29.3,0,1,0,0,0,0
http://ufcstats.com/fighter-details/8bd4200561c77a62,Ketlen Souza,4.92,0.59,4.46,0.51,0.43,0.25,0.64,0.4,63.0,115.0,63.0,115.0,63.0,15,5,0,30.8,0,1,0,0,0,0
http://ufcstats.com/fighter-details/22b43be04d7454d0,Heraldo Souza,1.62,0.33,1.62,0.5,0.0,0.0,0.0,0.0,71.0,185.0,71.0,185.0,73.0,9,2,1,30.5,0,1,0,0,0,0
http://ufcstats.com/fighter-details/c278e8843b8abfec,Charon Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,155.0,69.0,155.0,,14,26,0,37.3,0,0,0,0,0,1
http://ufcstats.com/fighter-details/411d012af19ecb59,Chris Spang,1.83,0.36,1.95,0.6,0.0,0.0,0.5,0.9,74.0,170.0,74.0,170.0,,6,3,0,37.6,0,1,0,0,0,0
http://ufcstats.com/fighter-details/b9eb5b4ed07d1525,Andreas Spang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,185.0,73.0,185.0,,9,3,0,46.6,0,0,0,0,0,1
http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,Ryan Spann,3.19,0.39,4.14,0.43,1.3,0.34,0.52,1.8,77.0,205.0,77.0,205.0,79.0,23,11,0,33.8,0,1,0,0,0,0
http://ufcstats.com/fighter-details/743fd9080892501d,Ron Sparks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,265.0,77.0,265.0,,8,3,0,,0,0,0,0,0,1
http://ufcstats.com/fighter-details/1411c630ba711b64,Tommy Speer,2.56,0.51,5.12,0.35,2.02,0.33,0.33,0.0,70.0,170.0,70.0,170.0,71.0,21,7,0,40.8,0,1,0,0,0,0
